Ballot ID,Full Council District,CounDist,CounPerson,Category,location_type,name,Cost,description,Location,lat,lon,Notes,shortlisted
0024,"District 05, Ben Kallos",5,Ben Kallos,Education,education,Computer Carts for 10 Schools,"$350,000","32 computers per cart for: P.S. 77, P.S. 198, P.S. 290, P.S./I.S. 217, M. 225, Eleanor Roosevelt, Urban Academy, Vanguard, Manhattan International, and Life Sciences, serving over 5000 students.",NYC Schools (District Wide),40.765395, -73.959740,"use the coordinates for one of the schools, Manhattan International ",TRUE
0025,"District 05, Ben Kallos",5,Ben Kallos,Education,education,HVAC for P.S.198 and P.S.77,"$350,000",Installing a split level air-conditioning system for the auditorium and cafeteria at P.S.198 and P.S.77. ,"1700 3rd Avenue (Upper East Side) New York, NY 10128",40.785148,-73.950122,,TRUE
0026,"District 05, Ben Kallos",5,Ben Kallos,Education,education,Sound System at Julia Richman JREC Auditorium,"$85,000",This project will address the acoustical needs of the auditorium and update the sound system to correct the reverberation and an inability to hear and understand speakers. ,"317 East 67th Street (Upper East Side) New York, NY 10065",40.785048, -73.950022,,TRUE
0027,"District 05, Ben Kallos",5,Ben Kallos,Seniors,seniors,Center @ Lenox Hill Neighborhood House Entrance,"$500,000","Automatic doors for the Center @ Lenox Hill Neighborhood House to enable ease of access and egress for senior center members, Robbins Plaza senior residents, visitors and staff.","343 E 70 St, between 1st and 2nd Avenues, New York, NY 10021",40.766789, -73.957125,,TRUE
0028,"District 05, Ben Kallos",5,Ben Kallos,"Arts, Culture & Community Facilities",culture,Webster Library HVAC Improvements,"$600,000",Upgrade or replacement of air-conditioning system. This library is a designated NYC cooling center. ,"1465 York Avenue (Upper East Side) New York, NY 10075",40.770678, -73.951345,,TRUE
0029,"District 05, Ben Kallos",5,Ben Kallos,"Arts, Culture & Community Facilities",culture,67th Street Library HVAC Improvements,"$600,000",Replacement or upgrade of the boiler to provide adequate heat. ,"328 East 67th Street (Upper East Side) New York, NY 10065",40.764945, -73.959553,,TRUE
0030,"District 06, Helen Rosenthal",6,Helen Rosenthal,Parks & Recreation,parks,Adult Fitness Equipment for Riverside Park,"$330,000","Installation of adult fitness equipment, including metal racks for sit-ups, pull-ups, push-ups, mats for stretching and exercise, and bars for stretching in Riverside Park.","Riverside Park, New York, NY 10025",40.801439,-73.972077,,TRUE
0031,"District 06, Helen Rosenthal",6,Helen Rosenthal,Parks & Recreation,parks,Picnic Tables for Riverside Park,"$65,000","Purchase and installation of picnic tables made of recycled, durable material capable of withstanding heavy use, weather conditions and permanently secured against theft.","Riverside Park, New York, NY 10025",40.801339, -73.971977,,TRUE
0032,"District 06, Helen Rosenthal",6,Helen Rosenthal,Parks & Recreation,parks,Restoration of Joan of Arc Plaza,"$300,000","Repairs to steps and pathways leading to and from the Joan of Arc monument, including concrete steps, resurfacing blacktop, laying cobblestone and sealing masonry around the base of the statue.","Joan of Arc Park, New York, NY 10025",40.794152, -73.976537,,TRUE
0033,"District 06, Helen Rosenthal",6,Helen Rosenthal,Parks & Recreation,parks,Restoration of Riverside Park Basketball Courts,"$200,000",Resurface and repair the existing basketball court to improve the recreation experience.,"Riverside Park at West 101st Street, New York, NY 10025",40.799575, -73.973259,,TRUE
0034,"District 06, Helen Rosenthal",6,Helen Rosenthal,Parks & Recreation,parks,Riverside Park Recreation and Activity Area,"$250,000","An activity and recreation area intended for tweens and younger adults, including facilities for a number of recreation activities.","Riverside Park at West 76th Street, New York, NY 10025",40.783313, -73.984901,,TRUE
0035,"District 06, Helen Rosenthal",6,Helen Rosenthal,Housing,housing,Playground Renovation at Wise Towers,"$350,000","Renovate the playground at Wise Towers, adding modern developmental play equipment suitable for young children and beautifying the area. (New York City Housing Authority)","124 West 91st Street, New York, NY 10024",40.789912, -73.971075,,TRUE
0036,"District 06, Helen Rosenthal",6,Helen Rosenthal,Housing,housing,Security Cameras for Amsterdam Addition,"$300,000",Installation and updates to security cameras at Amsterdam Addition. (New York City Housing Authority),"240 West 65th Street, New York, NY 10023",40.774791, -73.986988,,TRUE
0037,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Creation of Library Space at P.S. 191,"$350,000",Renovate an existing lounge space to create library space to be used by students and their families at P.S. 191.,"210 West 61st Street, New York, NY 10023",40.771919, -73.987645,,TRUE
0038,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Video Surveillance for P.S. 75 and M.S. 250,"$225,000",Installation of a video surveillance system to be used by the school security desk to help monitor the school's special needs population at P.S. 75 and M.S. 250.,"735 West End Avenue, New York, NY 10025",40.795272, -73.973654,,TRUE
0039,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Technology Upgrades at LaGuardia High School,"$150,000","Installation of SMART Boards, laptop carts, desktop computers, and a printing system for a department at LaGuardia High School.","100 Amsterdam Avenue, New York, NY 10023",40.774115, -73.985703,,TRUE
0040,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Courtyard Renovation at Brandeis Campus,"$300,000","Renovation of existing concrete courtyard, including new pavement and installation of tables, to serve the high schools located at the Brandeis Campus.","145 West 84th Street, New York, NY 10024",40.786003, -73.974033,,TRUE
0041,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Auditorium Renovations and Upgrades at ​P.S. 166,"$210,000",Renovation of auditorium stage and installation of technological upgrades at the auditorium at P.S. 166.,"132 West 89th Street, New York, NY 10024",40.788896, -73.972406,,TRUE
0042,"District 06, Helen Rosenthal",6,Helen Rosenthal,Education,education,Air Conditioning at the Performing Arts Library,"$350,000",Renovation of 40-year-old air conditioning system at the New York Public Library of Performing Arts to allow visitors to access the library during the warmer months comfortably.,"40 Lincoln Center Plaza, New York, NY 10023",40.773522, -73.984573,,TRUE
0043,"District 06, Helen Rosenthal",6,Helen Rosenthal,Public Safety,safety,UWS CERT Emergency Response and Education Vehicle,"$40,000","Purchase of a vehicle for UWS Community Emergency Response Team to store emergency and educational materials, and create pop-up preparedness events at street fairs, schools, and community gatherings.”",Upper West Side,40.787289, -73.971346,Locations are not set so we used the District Office location,TRUE
0044,"District 07, Mark Levine",7,Mark Levine,"Arts, Culture & Community Facilities",culture,George Bruce Library Renovations & Repairs,"$1,000,000",Time has wounded the site and certain physical complications have developed that should be immediately addressed. The facility needs a complete overhaul of the drainage system.,"518 West 125th Street, New York, NY 10027",40.813848, -73.957045,,TRUE
0045,"District 07, Mark Levine",7,Mark Levine,"Arts, Culture & Community Facilities",culture,Save Hamilton Grange! Elevator Repair,"$400,000","Restoration to the exterior of the building and water damage within the building. Replacement of the inoperable boiler, the installation of new windows and a workable HVAC system are needed.","503 West 145th Street, New York, NY 10031",40.825686, -73.948075,,TRUE
0046,"District 07, Mark Levine",7,Mark Levine,Seniors,seniors,Riverstone Senior Center Upgrade & Renovation,"$210,000",Grounds renovation outside the entrance would be designed to budget. Priorities such as creating attractive seating areas and enclosing the dumpster would be coordinated with RA leadership.,"99 Fort Washington Avenue, New Yok, NY 10032",40.839582, -73.944607,,TRUE
0047,"District 07, Mark Levine",7,Mark Levine,Housing,housing,Lighting Upgrades for Recreational Areas,"$500,000",Inadequate lighting around playing fields. Gangs are exploiting two of the dark play areas while the inadequately lit paths are sites of frequent muggings. Proper lighting will enhance basic security.,"Manhattanville Houses  New York, NY 10031",40.819042,-73.953841,,TRUE
0048,"District 07, Mark Levine",7,Mark Levine,Housing,housing,Playground Renovation,"$500,000","Renovate, upgrade, and install new equipment and amenities.  ","Manhattanville Houses  New York, NY 10031",40.818842,-73.953641,,TRUE
0049,"District 07, Mark Levine",7,Mark Levine,Housing,housing,Audubon Houses Playground Renovation,"$500,000","Renovation of recreational area for exercise, activity and relaxation.","Audubon Houses New York, NY 10032",40.831147, -73.943016,,TRUE
0050,"District 07, Mark Levine",7,Mark Levine,Housing,housing,Basketball Court Renovations,"$500,000","Resurface, replace and install new basketball court and recreational equipment.  ","Manhattanville Houses  New York, NY 10031",40.819042,-73.953641,,TRUE
0051,"District 07, Mark Levine",7,Mark Levine,Housing,housing,Augment Exterior Security Cameras,"$500,000",Augment the current 16 cameras per building added in 2015 with additional cameras to provide full security outdoors. ,"Manhattanville Houses  New York, NY 10031",40.818942, -73.953741,,TRUE
0052,"District 07, Mark Levine",7,Mark Levine,Parks & Recreation,parks,Green Up District 7,"$300,000",Planting 100 street trees and installing tree guards.,West 125th Street to West 155th Street,40.826170, -73.946928,chose a spot within the street bracket,TRUE
0053,"District 07, Mark Levine",7,Mark Levine,Parks & Recreation,parks,Cherry Walk Safety Improvements,"$150,000",Address dangerous conditions for walkers and bikers along the 1.5 mile unbroken section of the Hudson River Greenway. Install reflective paint markings to illuminate and improve safety conditions.,West 110th Street to West 129th Street,40.810907, -73.966207,chose a spot within the street bracket,TRUE
0054,"District 07, Mark Levine",7,Mark Levine,Parks & Recreation,parks,Artificial Turf Installation,"$500,000",Install artificial turf play surface on the eastern portion of the playground in Morningside Park.,Morningside Ave. (123rd St. - 124th St.),40.810393, -73.954757,chose a spot within the street bracket,TRUE
0055,"District 07, Mark Levine",7,Mark Levine,Streets,streets,Grounds Renovation,"$325,000","Replacing sidewalks in this area will help eliminate, or reduce the amount of accidents of civilians walking, allowing for a safer travel.","Grant Houses New York, NY 10027",40.814793, -73.958416,,TRUE
0056,"District 07, Mark Levine",7,Mark Levine,Education,education,Improve Technology,"$35,000",Laptop cart for middle school students in J.H.S. 54 Booker T. Washington School.,"103 West 107th Street, New York, NY 10025",40.800637, -73.962742,,TRUE
0057,"District 07, Mark Levine",7,Mark Levine,Education,education,P.S. 28 Wright Brothers Greenhouse Project,"$250,000",Greenhouse Project Classroom Conversion with New York Sun Works will improve environmental science education in urban schools through state of the art hydroponic greenhouse science labs.,"475 West 155th Street, New York, NY 10032",40.831680, -73.942492,,TRUE
0058,"District 07, Mark Levine",7,Mark Levine,Education,education,Smart Boards,"$75,000",Installation of 5-10 smart boards at Hamilton Grange Middle School. ,"500 West 138th Street, New York, NY 10031",40.821179,-73.952956,,TRUE
0059,"District 07, Mark Levine",7,Mark Levine,Education,education,Playground Upgrades,"$400,000","Playground upgrades (secure gating, security cameras) to the basketball court to service the students in Hamilton Grange Middle School.","500 West 138th Street, New York, NY 10031",40.820979, -73.953056,,TRUE
0060,"District 07, Mark Levine",7,Mark Levine,Education,education,Technology Lab Upgrades,"$35,000",Hamilton Grange Middle School will receive either one (1) laptop cart or 10-15 desktops.,"500 West 138th Street, New York, NY 10031",40.821079, -73.953056,,TRUE
0061,"District 07, Mark Levine",7,Mark Levine,Education,education,Science Lab Upgrades ,"$75,000",Upgrade three existing science lab classrooms in Columbia Secondary School to align with NGSS standards that will enhance current STEM curriculum.,"425 West 123rd Street, New York, NY 10027",40.810846, -73.956040,,TRUE
0062,"District 07, Mark Levine",7,Mark Levine,Education,education,Indoor Hydroponic Farm,"$250,000",Indoor Hydroponic Farm to be used by 200 elementary school children attending Columbia Secondary School. There is a possibility it will be used by other local public schools too.,"425 West 123rd Street, New York, NY 10027",40.810746,-73.95614,,TRUE
0063,"District 07, Mark Levine",7,Mark Levine,Education,education,Auditorium Audio Upgrade,"$125,000","Upgrade to audio system and acoustics in the Ralph Bunche Campus auditorium which is used by three public schools, the DOE administration and the Community.","425 West 123rd Street, New York, NY 10027",40.810846,-73.95614,,TRUE
0064,"District 07, Mark Levine",7,Mark Levine,Education,education,Electrical Upgrade to CSS,"$200,000",Upgrade electricity so that electrical equipment can be used in the classrooms in the Ralph Bunche Campus. ,"425 West 123rd Street, New York, NY 10027",40.810746, -73.956040,,TRUE
0065,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Youth,youth,Mobile Robotics Lab at South Bronx Prep ,"$186,000",Adding Computer Science to our curriculum. Next Generation science standards demand students apply science & math concepts to real world needs. We wish to add mobile robotic cards to achieve this end.,"South Bronx Preparatory 360 E.145 St (Bronx) Bronx, NY 10454",40.813091,-73.920604,,TRUE
0066,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Youth,youth,Technology Upgrade to FLAGS High School,"$100,000",Technology upgrade to Foreign Language Academy of Global Studies High School (FLAGS). This will enable students to better utilize their computer lab.,"470 Jackson Avenue (Bronx - Mott Haven) Bronx, NY 10455",40.811010, -73.909309,,TRUE
0067,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Youth,youth,Bathroom Renovations: MS/HS 223,"$250,000","Essential restoration, upgrade, and efficiency enhancement of restroom facilities for our school -  M.S./H.S. 223 The Laboratory School of Finance and Technology",360 East 145th (Bronx - Mott Haven) 10454,40.813191, -73.920504,,TRUE
0068,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Youth,youth,Technology Upgrades for CPE H.S. and Heritage ,"$376,200","Technology upgrades that will impact classrooms at Park East High School, Central Park East High School and the Heritage High Schools, potentially serving approximately 1500 students daily.","East Harlem High Schools  New York, NY 10029",40.790316, -73.944108,chose the coordinates for Park East HS ,TRUE
0069,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Parks & Recreation,parks,Irrigation & Tom's Dog Run Upgrades ,"$400,000","Keep Thomas Jefferson Park green with an irrigation system to water green spaces. Tom's Dog Run is in need of water fountains, fencing and obstacles for mental stimulation and exercise for EH dogs. ","Thomas Jefferson Park (East Harlem) New York, NY 10029",40.793408, -73.935060,,TRUE
0070,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Parks & Recreation,parks,Nelson Playground Repairs,"$500,000","This project will put in a fence to separate the benches from the basketball court for the safety of those who utilize the benches. Additionally, water fountain repairs will be made to benefit all.",Nelson Playground (Bronx - Highbridge) 10452,40.834908, -73.926960,,TRUE
0071,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Parks & Recreation,parks,Bright Lights and Fancy Seating for Poor Richards,"$300,000",Poor Richards will receive new benches in addition to improved lighting to brighten up the park space. ,Poor Richards Playground (East Harlem) East 109th Street 10029,40.792679, -73.942847,,TRUE
0072,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,"Water Fountain Upgrades: CPE II, P.S.171 & P.S.108","$75,000","Water fountain upgrades for Central Park East II, P.S. 171 and P.S. 108",19 103rd Street (East Harlem) NY 10029,40.792474,-73.951527,,TRUE
0073,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,"Air Conditioning for P.S. 369X, P.S. 179X and 352X","$450,000","Providing air-conditioning to a school building that has three co-located schools - P.S. 369 Young Leaders Elementary, PS. 179 School International Cultures and X352 D75",468 East 140th St (Bronx-Mott Haven) 10454,40.809410, -73.919973,,TRUE
0074,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,Air Conditioning for PS 49X,"$250,000",Obtaining a split system will create a safer and healthier environment for the students and faculty and make the space more usable throughout the year. ,383 East 139th Street (Bronx - Mott Haven) 10454,40.810396, -73.922943,,TRUE
0075,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,Air Conditioning at P.S. 108,"$250,000",Air conditioning system for the school cafeteria at P.S. 108 Assemblyman Angelo Del Toro Educational Complex  ,1615 Madison Avenue (East Harlem) 10029,40.795393, -73.947999,,TRUE
0076,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,Air Conditioning for P.S. 65X,"$250,000 ",Install air conditioning for students and faculty to make the space more usable throughout the year.,"677 East 141st Street, Bronx",40.811371, -73.922210,,TRUE
0077,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Education,education,Electrical Upgrade for Schools,"$75,000","Electrical upgrades for classrooms in Central Park East II, P.S. 171 and P.S. 108. The upgrades will increase electrical capacity to support air conditioning units. ","Central Park East II, P.S. 171 and P.S. 108 New York, NY 10029",40.792374, -73.951427,,TRUE
0078,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Seniors,seniors,Grounds Renovation: Upgrades to Gaylord White ,"$400,000",Renovation to the outside entrance of Gaylord White Senior Houses. Project will replace the benches and tables and will level the ground. ,229 East 104th Street (East Harlem) 10029,40.789601, -73.943934,,TRUE
0079,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Seniors,seniors,Grounds Renovation: Sitting Area for Seniors ,"$400,000",Seniors in the Corsi Houses ask that the current open space be converted into a sitting area with greening and a shade structure to protect from the sun and rain. ,306 East 117th Street (East Harlem) 10029,40.796962, -73.936916,,TRUE
0080,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Seniors,seniors,Grounds Enhancement: Focus on Age Friendly Benches,"$300,000","Ground Beautification with a focus on Age Friendly benches. This will include new concrete, fencing and greening for Seniors at Washington Houses.",Washington Houses (East Harlem) 10029,40.785822,-73.949134,,TRUE
0081,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Seniors,seniors,Grounds Renovation at Metro North,"$300,000","Grounds Renovation at Metro North with a focus on Age Friendly benches. This will include new concrete, fencing and greening for seniors at Metro North Plaza.",Metro North Plaza (East Harlem) 10029,40.787275, -73.943739,,TRUE
0082,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Housing,housing,Playground Renovations at Wagner Houses ,"$500,000",Renovation to existing playground at Wagner Houses. The renovation will focus on children with special needs. ,"Wagner Houses (East Harlem) 435 East 120th Street, 10035",40.798578, -73.931495,,TRUE
0083,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Housing,housing,Renovation to Playground at Washington Houses ,"$500,000",Renovation to existing playground at Washington Houses. The renovation will focus on children with special needs. ,Washington Houses (East Harlem) 10029,40.785722, -73.949034,,TRUE
0084,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Housing,housing,Playground Renovations at Wilson Houses ,"$500,000",Renovation to existing playground at Wilson Houses ,"Wilson Houses (East Harlem) 2040 1st Avenue, 10029",40.788836, -73.939169,,TRUE
0085,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Housing,housing,Exterior Lighting at Millbrook Houses ,"$400,000",Placement of exterior lighting throughout Millbrook houses to increase visibility and safety. ,"Millbrook Houses (Bronx - Mott Haven) 160 St Ann's Avenue, 10454",40.805196, -73.918212,,TRUE
0086,"District 08, Melissa Mark-Viverito",8,Melissa Mark-Viverito,Housing,housing,Exterior Lighting at Mott Haven Houses ,"$400,000",The placement of exterior lighting throughout Mott Haven Houses will increase visibility at night and creating a safer environment.,"Mott Haven Houses (Bronx - Mott Haven) 388 East 141st Street, 10454",40.811158, -73.922101,,TRUE
0087,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Housing,housing,Marble Hill (Houses) Playground Upgrades,"$500,000",Safety measures desperately needed-playground is outdated and dangerous. All children deserve a safe place to play. This upgrade will increase outdoor activity and therefore has real health benefits.,"Marble Hill Houses, 5220 Broadway 10463",40.874770, -73.908883,,TRUE
0088,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Housing,housing,The Dyckman Houses Basketball Upgrades!,"$500,000",Build COMMUNITY through events/games. Build DREAMS and create opportunities for scholarships/viewing scouts.  Ensure deserved safety on these courts through this needed upgrade! ,"215 Nagle Avenue New York, NY 10034",40.862105,-73.923911,,TRUE
0089,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Housing,housing,Dyckman Houses Playground Renovation,"$350,000",Children are the future and need space to grow creatively and socially! Updating safety surfacing and structures for the playground will impact over 300 families including yours and your children!,"215 Nagle Avenue New York, NY 10034",40.862005, -73.923811,,TRUE
0090,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Education,education,Board of Ed. 1st Recording Studio JHS 143,"$300,000","J.H.S 143 Recording Studio would musically enrich the general and special education students, providing them with the necessary steps to establish a foundation for an influential musical career.","515 West 182nd Street New York, NY 10033",40.849382, -73.931248,,TRUE
0091,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Education,education,Keep it Cool A/C Installation,"$400,000",Installation of central air conditioning unit for Salome Ureña Campus auditorium and cafeteria used by over 10 low income schools and community base organization in the district. ,"4600 Broadway New York, NY 10040",40.861034, -73.930050,,TRUE
0092,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Education,education,Laptops for M.293,"$225,000",Laptops and carts for 600 low-income middle school and high school students in support of college and career readiness because education matters.,West 196th Street,40.860530, -73.929832,"No address found, go by coordinates I chose",TRUE
0093,"District 10, Ydanis Rodriguez",10,Ydanis Rodriguez,Education,education,Science/Media Labs for D6 STEAM Center,"$350,000","K-8 students across all District 6 will benefit from hands-on learning in science, technology, engineering and math; open weekends & evenings for the full community.",Hillside Avenue and Ellwood Street ,40.859093, -73.927596,"No address found, go by coordinates I chose",TRUE
